381094c0-9e45-424f-90b6-ad64b06cc184	2014-01-02 17:33:07	click
6615087e-ea19-492c-869c-28fc1fa77588	2014-01-02 17:33:20	view
d4889090-942b-4790-9831-362051b0847b	2014-01-02 17:34:01	adview
e6688db5-d31f-4ede-985a-115fb51836fb	2014-01-02 17:35:06	adview
e6688db5-d31f-4ede-985a-115fb51836fb	2014-01-02 17:35:30	click
e6688db5-d31f-4ede-985a-115fb51836fb	2014-01-02 17:37:01	click
e6688db5-d31f-4ede-985a-115fb51836fb	2014-01-02 17:39:00	convert
ae6ae5c9-acb2-479b-adcb-0c29623d921b	2014-01-02 17:40:00     adview
1ac384c1-1b2d-4ed0-b467-7c90b7ac42d8	2014-01-02 17:40:01     adview
280bfa16-07ac-49ed-a1a5-9ab50a754027	2014-01-02 17:40:03     click
dda0e95d-9c30-4f60-bb6a-febf05526b83	2014-01-02 17:40:05     adview
8a1204f1-5076-4d4c-8b23-84c77ad541d8	2014-01-02 17:40:10     adview
3bdb8f17-11cc-49cb-94cf-75676be909b7	2014-01-02 17:40:11     adview
69b61156-6c31-4317-aec5-bd48908b4973	2014-01-02 17:40:13     adview
69722471-0532-4f29-b2b4-2f9007604e4f	2014-01-02 17:40:14     adview
00e5edf6-a483-48fa-82ed-fbfac8a6b1e6	2014-01-02 17:40:15     adview
9398d369-6382-4be0-97bc-182b3713745f	2014-01-02 17:40:17     convert
f40c1588-e4e1-4f7d-8ef5-5f76046886fb	2014-01-02 17:40:18     adview
54823527-fe62-4a81-8551-6282309b0a3f	2014-01-02 17:40:20     click
46d6f178-7c11-48c1-a1d7-f7152e7b2f1c	2014-01-02 17:40:26     adview
4c4e545b-d194-4531-962f-66e9d3b6116d	2014-01-02 17:41:00     convert
42b311f5-ba84-4666-a901-03063f7504a9	2014-01-02 17:41:01     adview
bfa28923-c358-4741-bcbf-ff99b640ee14	2014-01-02 17:42:06     adview
54c29b39-5640-49b8-b610-6f2e6dc6bd1b	2014-01-02 17:42:10     convert
edf6c5d2-1373-4dbb-8528-925d525b4a42	2014-01-02 17:43:03     click
f7f6752f-03bf-43f1-927c-8acdafd235e2	2014-01-02 17:43:11     adview
f4b7c0a6-b209-4cc4-b4e7-395489e0e724	2014-01-02 17:43:19     click
